tweet_count,negative_tweet_pct,skewness,polarization,date,negative_tweet_pct_7d,skewness_7d,polarization_7d
393511,29.891159332267712,-0.0690429224586593,0.06295376749315776,2020-03-19,,,
437816,31.49724998629561,-0.11769082409387976,0.06047517678659528,2020-03-20,,,
870924,27.519163555028914,0.08839472198072582,0.06581171261786332,2020-03-20,,,
587595,22.133952807631108,-0.21198683221227163,0.0729260800381215,2020-03-20,26.335519793014555,-0.07354170918714463,0.06499008807277987
186134,22.780362534518144,-0.1970021567522904,0.07815337337616986,2020-03-21,25.968351020811173,-0.019914801903531613,0.06562456598278117
1147740,24.708993326014603,-0.008582520326324766,0.06366424451530835,2020-03-21,25.856493893565638,0.009000523809582292,0.06651048928543091
85600,25.817757009345794,0.001118569552687689,0.05094626168224299,2020-03-22,25.653821147641928,0.025171944066963853,0.0665911779527082
1601674,27.320977926844037,0.3063454285266318,0.0673951128631669,2020-03-22,25.771849507256395,0.06323639688571271,0.06537118178162007
180483,30.714250095576865,0.08471645589791756,0.06667663990514341,2020-03-23,26.575292108604696,0.14739810191206185,0.06182645970479728
1437270,26.100454333562933,0.20159466378239674,0.06637653328880447,2020-03-23,26.60785045946341,0.17803993006639374,0.0603593970078473
1191608,22.960151324932358,0.05446433751897034,0.0643861068405046,2020-03-24,26.298957334718644,0.17101086972346752,0.062163237364296554
334025,28.40446074395629,0.3921297784321535,0.0533403188384103,2020-03-24,25.14715864470867,0.12537355992230806,0.06510725349905151
288043,24.9369017820256,0.20591027675399853,0.05339480563665842,2020-03-25,23.48688971058622,0.12488535782418851,0.0665050113986771
962592,23.655505136132444,-0.048084852847796046,0.06357314417738771,2020-03-25,22.662892558761865,0.11266695926506129,0.0650260727466551
310000,19.258387096774193,-0.013115740081484311,0.08800322580645162,2020-03-26,22.33366578489792,0.10933965507813873,0.0651707342554415
857065,19.092367556719736,0.08129904121108086,0.07646094520252256,2020-03-26,22.330876108261275,0.08647923134810256,0.06710371089347235
