phase,n,base_r2,base_adj_r2,beta_cases,se_cases,p_cases,beta_deaths,se_deaths,p_deaths,std_beta_cases,std_beta_deaths,ext_r2,r2_improvement,beta_stringency,se_stringency,p_stringency
Phase 1: Initial Outbreak,165,0.009111780496753541,-0.0031214073983483193,-11.488822954775923,31.21524440682335,0.7133151617582056,-462.57048320675074,557.9113163341901,0.4082614908377835,-0.03322567884303677,-0.07484758842638486,0.013922587522195773,0.004810807025442232,-15715.34437679272,17731.99096918772,0.376793546027422
Phase 2: Second Wave,181,5.777435142606535e-05,-0.011177531554737774,0.9239709170889044,9.63854816017257,0.9237379798448021,-9.524930233163227,414.8966058201769,0.9817100018948635,0.008507677006257318,-0.002037446600033325,0.0005468322804315084,0.0004890579290054431,9459.467581932055,32142.609508207166,0.7688759558790214
Phase 3: Vaccination Era,214,0.15765550628585823,0.14967119828856768,9.815681360391057,3.8512994723856937,0.011524313070142287,1072.2041798407263,372.6499949556341,0.004423871346697392,0.20718530612228986,0.2338956613979596,0.16484505878795008,0.007189552502091856,25954.149409268713,19303.21957178831,0.1802210000508166
Phase 4: Omicron,182,0.21646310047555328,0.20770849824622983,1.7012430471645974,0.6882570092761235,0.014377500500337523,586.3792785840759,134.93087630034668,2.322380145331216e-05,0.19182335188186878,0.3372508315446843,0.21895493019080436,0.0024918297152510815,-20716.796640312845,27491.058957175097,0.4520952473408144
Phase 5: Post-Restrictions,257,0.06216338448754921,0.05477884420792367,2.60083355492876,0.900893712163042,0.00422482564486704,110.63484154100279,188.07543289659776,0.5568890753588631,0.22020293342345199,0.044868747273094714,0.06257334736620512,0.00040996287865591174,8687.542792014272,26117.588666575928,0.7396876171008888
