date,sentiment_mean,sentiment_volatility,tweet_volume,StringencyIndex_Average,daily_new_cases,daily_new_deaths,C1_School_closing,C2_Workplace_closing,C4_Restrictions_gatherings,C6_Stay_at_home,C7_Internal_movement,C8_International_travel,H6_Facial_coverings
2020-03-20,0.0399329922686686,-0.015937370811788587,813326.0,3.5516666666666694,337.3333333333326,12.499999999999993,0.0,0.0,0.0,0.0,0.33333333333333337,0.3333333333333335,0.0
2020-03-21,-0.006045008258191098,0.004600675089635575,-411313.0,5.86333333333333,-20.166666666665606,3.6666666666666927,0.16666666666666652,0.5,0.5,0.16666666666666663,0.16666666666666674,0.0,0.0
2020-03-22,0.015790582825373697,-0.006065146010661271,548817.0,2.469999999999999,551.833333333333,10.999999999999972,0.0,0.0,0.0,0.16666666666666674,0.33333333333333326,0.0,0.0
2020-03-23,-0.0225450513148701,-0.014081512918267314,-10862.0,7.4083333333333385,513.9999999999991,14.666666666666657,0.0,0.4999999999999998,1.0,0.16666666666666652,0.16666666666666674,0.0,0.0
2020-03-24,0.0046896778394421995,-0.009921749535353186,-291644.0,4.553333333333342,-29.66666666666606,18.166666666666686,0.8333333333333335,0.0,0.3333333333333335,0.16666666666666674,0.0,0.0,0.0
2020-03-25,0.007210126760411502,0.020126216529722796,-207059.0,0.6166666666666458,281.83333333333394,28.666666666666686,0.0,0.16666666666666696,0.0,0.0,0.0,0.0,0.0
2020-03-26,0.016320591794560496,0.0004945127163564766,-181163.0,2.470000000000013,1104.5,28.666666666666686,0.0,0.0,0.0,0.16666666666666674,0.16666666666666652,0.0,0.0
2020-03-27,-0.004033678203915897,-0.005659465262599306,80584.0,3.086666666666659,125.99999999999818,22.999999999999886,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0
2020-03-28,0.022340332784137003,0.027330276899656003,-30803.0,1.5433333333333366,568.1666666666679,44.33333333333337,0.0,0.0,0.0,0.16666666666666652,0.16666666666666674,0.0,0.0
2020-03-29,0.0,0.0,0.0,0.0,-1043.8333333333321,-15.333333333333144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,-0.0013957136058811992,-0.017843938902240453,-348793.0,0.0,1313.1666666666642,46.166666666666515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,-0.0179013956937153,-0.01867990058144342,236877.0,0.0,717.3333333333321,86.16666666666652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,-0.019931179202387104,0.018446545525509006,-109218.0,0.3083333333333371,1652.6666666666715,106.16666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,0.022327944527779104,-0.012096863342882236,-93805.0,0.3083333333333371,-502.83333333333576,5.500000000000227,0.0,0.0,0.0,0.16666666666666674,0.0,0.0,0.0
2020-04-03,-0.0017588758389499998,0.0010202434548418071,-213759.0,0.0,-34.33333333333576,-10.66666666666697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,0.0017112057436259945,0.014766080459264308,73048.0,-0.3083333333333371,-284.0,50.000000000000455,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2020-04-05,-0.0100575936293417,0.004107644478182904,31741.0,0.0,-587.1666666666642,12.83333333333303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,-0.008800412423001697,0.008990345540758726,5620.0,0.9249999999999972,856.6666666666724,12.499999999999602,0.0,0.0,0.0,0.0,0.0,0.33333333333333304,0.0
2020-04-07,0.014998838716583703,-0.010105112365764835,-168909.0,0.0,-305.83333333334394,166.16666666666737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,0.013317318812636994,-0.03036996000563391,35667.0,0.0,109.66666666667152,-47.66666666666697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,-0.006515271457091194,0.0178231151585852,-71961.0,0.0,791.0,5.16666666666697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,0.004292698670258194,0.011644140216729326,83481.0,0.0,-263.16666666665697,-18.16666666666697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,-0.0001055815992202988,-0.001106160987249416,-103544.0,0.0,-1068.5000000000146,-5.16666666666697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,-0.009135373309543698,0.007212528486779002,-20473.0,0.0,-573.8333333333285,-37.99999999999909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,-0.0084475609613257,-0.029310790962023603,-188905.0,0.0,469.6666666666724,-1.8189894035458565e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,0.0036510574928979994,0.002614209274632906,227462.0,0.0,194.83333333332757,86.33333333333576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,-0.0131326464114851,0.0026514786732179108,-88651.0,-0.6183333333333394,-191.83333333332757,29.99999999999818,-0.16666666666666696,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,0.011820867137027999,0.003535733623868109,6280.0,0.0,536.4999999999845,-67.66666666666606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,0.0085583918598936,0.0015894784775983828,-40521.0,0.0,586.333333333343,-19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,0.013080496707525008,-0.0030219264122404166,2278971.0,0.0,-1099.5,-42.83333333333394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,-0.007594418144257105,-0.004389713813225449,-278812.0,0.0,-550.166666666657,-1.499999999998181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,0.000411491786397801,0.0027203659818763604,-165427.0,0.0,1084.833333333314,60.33333333333212,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666674
2020-04-21,0.0010769519020552981,-0.006707449907877472,-15890.0,0.0,-820.666666666657,12.33333333333212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,0.0016165408215334034,0.0021334184709234094,53500.0,0.0,872.5,5.166666666667879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,-0.0010655289425912998,0.005474093035776673,-64051.0,0.0,339.0,-15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,-0.0022749632318426055,0.00034231883506402605,137575.0,0.0,-213.33333333334303,-35.33333333333212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,-0.009484462574390597,-0.004264766566645539,-356878.0,0.0,-390.33333333331393,-96.16666666666788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,0.006968468743262297,-0.0004952109333941079,366992.0,0.0,-843.833333333343,-69.16666666666606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,0.004456682110080899,-0.010690045310439267,-136611.0,0.0,25.166666666656965,11.999999999998181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,-0.005436957136483199,0.007951190378944595,-93363.0,-1.5433333333333223,-57.499999999970896,126.5,0.0,-0.16666666666666652,0.0,0.0,0.0,0.0,0.16666666666666663
