phase,n,base_r2,base_adj_r2,beta_cases,se_cases,p_cases,beta_deaths,se_deaths,p_deaths,std_beta_cases,std_beta_deaths,ext_r2,r2_improvement,beta_tweet_vol,se_tweet_vol,p_tweet_vol
Phase 1: Initial Outbreak,165,0.006901670933883497,-0.0053588022644637245,-0.00011562701952744562,0.00013840107805918064,0.4046955019126207,0.0024287070923226517,0.0024736480238863644,0.32764659199216495,-0.07527463679644512,0.08846389310578115,0.011723208140997698,0.0048215372071142015,-3.089366045421899e-07,3.4858040335935203e-07,0.37679354602741333
Phase 2: Second Wave,181,0.0058749539097145975,-0.005294990428378554,-1.6342273454694493e-05,2.253396558155671e-05,0.4692642144593484,-0.00022164296083633368,0.000969986939951045,0.8195190966526924,-0.06399840923192436,-0.0201642646458943,0.006361166736558954,0.0004862128268443566,5.170335237227422e-08,1.756843766494281e-07,0.7688759558790159
Phase 3: Vaccination Era,214,0.007176737059975236,-0.0022339099821104824,-1.5140411202387178e-05,1.3709024383058823e-05,0.2706722877915115,0.00034725319617436435,0.0013264789985362947,0.7937420601806318,-0.09724133847742011,0.023049721365050128,0.015650651269032534,0.008473914209057298,3.28855657614598e-07,2.445841266557553e-07,0.18022100005078598
Phase 4: Omicron,182,0.00172740833110141,-0.00942647537469643,9.599070690738878e-07,1.8735163755376287e-06,0.6090335958395324,-2.938879925070468e-05,0.00036729768517754696,0.9363158479500702,0.04475647681898628,-0.006989527958976284,0.004902147528899503,0.003174739197798093,-1.5350986996566524e-07,2.0370663278715645e-07,0.45209524734081663
Phase 5: Post-Restrictions,257,0.020067670040223362,0.01235166744211491,-2.426057841565665e-06,2.168129774673603e-06,0.2642128337340876,-0.0004128976845132734,0.0004526304717663997,0.3625189269584346,-0.0870738696521515,-0.0709856604569116,0.02049603450396187,0.00042836446373850645,5.031765493142663e-08,1.5127129104591933e-07,0.7396876171006909
