metric,r,p_value,r2_sentiment,r2_stringency
raw_correlation,0.0024214042319643646,0.9390710168205396,,
partial_correlation_cases_deaths,0.003296047293247799,0.9171313411131063,0.002965964195889459,0.0004213894448329425
