signal,result_type,regime,n,r,p_value,fisher_z,fisher_p_value,interaction_coef,interaction_p_value
cases,split_correlation,rising,500,-0.011636134423485397,0.7952113456336016,,,-0.0003296952670338535,0.6063183856707884
cases,split_correlation,falling,499,0.021486013969128862,0.6320718259830167,,,-0.0003296952670338535,0.6063183856707884
cases,fisher_difference,rising_vs_falling,999,,,-0.5219310750722275,0.6017183210592729,-0.0003296952670338535,0.6063183856707884
deaths,split_correlation,rising,474,-0.03601879014269632,0.4339983637453783,,,-0.0007166166224343487,0.26115343298418875
deaths,split_correlation,falling,525,0.0352914852734752,0.4196932816949684,,,-0.0007166166224343487,0.26115343298418875
deaths,fisher_difference,rising_vs_falling,999,,,-1.122554387208903,0.2616267966605996,-0.0007166166224343487,0.26115343298418875
