date,sentiment_mean,sentiment_volatility,tweet_volume,StringencyIndex_Average,vol_smooth,str_smooth
2020-03-19,-0.0061657310823133,0.2943170198989148,831327.0,48.37833333333333,,
2020-03-20,0.0337672611863553,0.2783796490871262,1644653.0,51.93,,
2020-03-21,0.0277222529281642,0.2829803241767618,1233340.0,57.79333333333333,,
2020-03-22,0.0435128357535379,0.2769151781661005,1782157.0,60.26333333333333,,
2020-03-23,0.0209677844386678,0.2628336652478332,1771295.0,67.67166666666667,,
2020-03-24,0.02565746227811,0.25291191571248,1479651.0,72.22500000000001,,
2020-03-25,0.0328675890385215,0.2730381322422028,1272592.0,72.84166666666665,0.27448226921877417,61.58619047619048
2020-03-26,0.049188180833082,0.2735326449585593,1091429.0,75.31166666666667,0.27151307279872344,65.43380952380951
2020-03-27,0.0451545026291661,0.26787317969596,1172013.0,78.39833333333333,0.27001214859998535,69.215
2020-03-28,0.0674948354133031,0.295203456595616,1141210.0,79.94166666666666,0.2717583103741074,72.37904761904763
2020-03-29,0.0674948354133031,0.295203456595616,1141210.0,79.94166666666666,0.2743709215783239,75.19023809523809
2020-03-30,0.0660991218074219,0.2773595176933755,792417.0,79.94166666666666,0.2764460433562585,76.94309523809524
2020-03-31,0.0481977261137066,0.2586796171119321,1029294.0,79.94166666666666,0.2772700006990374,78.04547619047618
2020-04-01,0.0282665469113195,0.2771261626374411,920076.0,80.25,0.27785400504121427,79.10380952380952
2020-04-02,0.0505944914390986,0.2650292992945589,826271.0,80.55833333333334,0.2766392413749285,79.85333333333334
2020-04-03,0.0488356156001486,0.2660495427494007,612512.0,80.55833333333334,0.2763787218111343,80.16190476190476
2020-04-04,0.0505468213437746,0.280815623208665,685560.0,80.25,0.2743233170415699,80.20595238095237
2020-04-05,0.0404892277144329,0.2849232676868479,717301.0,80.25,0.2728547186260316,80.25
2020-04-06,0.0316888152914312,0.2939136132276066,722921.0,81.175,0.27521958941663605,80.42619047619048
2020-04-07,0.0466876540080149,0.2838085008618418,554012.0,81.175,0.27880942995233743,80.60238095238095
2020-04-08,0.0600049728206519,0.2534385408562079,589679.0,81.175,0.2754254839835898,80.73452380952381
2020-04-09,0.0534897013635607,0.2712616560147931,517718.0,81.175,0.276315820657909,80.82261904761904
2020-04-10,0.0577824000338189,0.2829057962315224,601199.0,81.175,0.2787238568696407,80.91071428571429
2020-04-11,0.0576768184345986,0.281799635244273,497655.0,81.175,0.27886443001758465,81.04285714285713
2020-04-12,0.0485414451250549,0.289012163731052,477182.0,81.175,0.2794485580238995,81.175
2020-04-13,0.0400938841637292,0.2597013727690284,288277.0,81.175,0.2745610951012455,81.175
2020-04-14,0.0437449416566272,0.2623155820436613,515739.0,81.175,0.2714906781272197,81.175
