date,sentiment_mean,sentiment_volatility,tweet_volume
2020-03-19,-0.0061657310823133,0.2943170198989148,831327.0
2020-03-20,0.033767261186355396,0.2783796490871262,1644653.0
2020-03-21,0.0277222529281642,0.2829803241767618,1233340.0
2020-03-22,0.0435128357535379,0.2769151781661005,1782157.0
2020-03-23,0.0209677844386678,0.2628336652478332,1771295.0
2020-03-24,0.02565746227811,0.25291191571248,1479651.0
2020-03-25,0.0328675890385215,0.2730381322422028,1272592.0
2020-03-26,0.049188180833082,0.2735326449585593,1091429.0
2020-03-27,0.0451545026291661,0.26787317969596,1172013.0
2020-03-28,0.0674948354133031,0.295203456595616,1141210.0
2020-03-29,0.0674948354133031,0.295203456595616,1141210.0
2020-03-30,0.0660991218074219,0.2773595176933755,792417.0
2020-03-31,0.0481977261137066,0.2586796171119321,1029294.0
2020-04-01,0.0282665469113195,0.2771261626374411,920076.0
2020-04-02,0.0505944914390986,0.2650292992945589,826271.0
2020-04-03,0.0488356156001486,0.2660495427494007,612512.0
2020-04-04,0.0505468213437746,0.280815623208665,685560.0
2020-04-05,0.0404892277144329,0.2849232676868479,717301.0
2020-04-06,0.0316888152914312,0.2939136132276066,722921.0
2020-04-07,0.0466876540080149,0.2838085008618418,554012.0
2020-04-08,0.0600049728206519,0.2534385408562079,589679.0
2020-04-09,0.0534897013635607,0.2712616560147931,517718.0
2020-04-10,0.0577824000338189,0.2829057962315224,601199.0
2020-04-11,0.0576768184345986,0.281799635244273,497655.0
2020-04-12,0.0485414451250549,0.289012163731052,477182.0
2020-04-13,0.0400938841637292,0.2597013727690284,288277.0
2020-04-14,0.0437449416566272,0.2623155820436613,515739.0
2020-04-15,0.0306122952451421,0.2649670607168792,427088.0
2020-04-16,0.0424331623821701,0.2685027943407473,433368.0
2020-04-17,0.0509915542420637,0.2700922728183457,392847.0
2020-04-18,0.0640720509495887,0.2670703464061053,2671818.0
2020-04-19,0.0564776328053316,0.2626806325928798,2393006.0
2020-04-20,0.0568891245917294,0.2654009985747562,2227579.0
2020-04-21,0.0579660764937847,0.2586935486668787,2211689.0
2020-04-22,0.0595826173153181,0.2608269671378021,2265189.0
2020-04-23,0.0585170883727268,0.2663010601735788,2201138.0
2020-04-24,0.0562421251408842,0.2666433790086428,2338713.0
2020-04-25,0.0467576625664936,0.2623786124419973,1981835.0
2020-04-26,0.0537261313097559,0.2618834015086032,2348827.0
2020-04-27,0.0581828134198368,0.2511933561981639,2212216.0
2020-04-28,0.0527458562833536,0.2591445465771085,2118853.0
2020-04-29,0.059621287838088,0.260682987039253,2390703.0
2020-04-30,0.071290839554384,0.2622836472260971,2184439.0
2020-05-01,0.069174808696698,0.2536100033688973,2223013.0
2020-05-02,0.062953551722836,0.2558790910321,2216553.0
2020-05-03,0.0604881069388709,0.265070060745475,2266373.0
2020-05-04,0.0593090359445948,0.2538801365933308,2227489.0
2020-05-05,0.0631850118048219,0.2609038239731928,2218774.0
2020-05-06,0.0551724018684284,0.26995017957678,2164251.0
2020-05-07,0.0573937781122584,0.2624686993326602,2203686.0
2020-05-08,0.0667932219408026,0.2741059217344991,2250019.0
2020-05-09,0.0556852653729367,0.2647098703756689,2273705.0
2020-05-10,0.0545794763566238,0.26084173032309,2208264.0
2020-05-11,0.0575157981531379,0.2501648893406565,2216845.0
2020-05-12,0.0513975206884271,0.2576444158474414,2264472.0
2020-05-13,0.0560938778740102,0.2580643076580932,2339709.0
2020-05-14,0.0602606576885739,0.2648614392428368,2096878.0
2020-05-15,0.059555257164155,0.2570646912886917,2214205.0
