date,sentiment_mean,sentiment_volatility,tweet_volume,source_file
2021-11-25,0.06298524416234019,0.25018258898433265,1456028,corona_tweets_617.csv
2020-03-31,0.0481977261137066,0.2586796171119321,1029294,corona_tweets_13.csv
2021-03-21,0.06303856862426885,0.2737184867962247,2358661,corona_tweets_368.csv
2020-03-28,0.06749483541330317,0.295203456595616,1141210,corona_tweets_11.csv
2022-05-24,0.056465824492983444,0.24852374681797423,936244,corona_tweets_797.csv
2021-06-19,0.05862695866829512,0.26637679665247965,1535961,corona_tweets_458.csv
2022-09-06,0.04880234814280133,0.24883270690134138,673920,corona_tweets_902.csv
2020-07-31,0.05190740725869562,0.2715416524753028,3867434,corona_tweets_135.csv
2021-01-08,0.05733197648903134,0.2663038927047226,2975849,corona_tweets_296.csv
2021-01-21,0.06395431047630071,0.2546994050646563,3284309,corona_tweets_309.csv
2022-07-21,0.05798307881314147,0.25018511432990376,1413399,corona_tweets_855.csv
2020-03-26,0.04918818083308207,0.27353264495855933,1091429,corona_tweets_09.csv
2022-04-01,0.06039733149114748,0.2647824410769598,879504,corona_tweets_744.csv
2021-03-20,0.06814215413417671,0.27716113123848224,2357985,corona_tweets_367.csv
2022-09-14,0.054457976364989905,0.2586730086739577,617757,corona_tweets_910.csv
2022-09-21,0.045448183586737904,0.24439061843469265,788694,corona_tweets_917.csv
2020-08-17,0.053330751709980286,0.25712551834537045,3680958,corona_tweets_152.csv
2020-06-20,0.035908167819178285,0.25757324313277835,3610992,corona_tweets_94.csv
2021-12-23,0.046663902365794645,0.27278179998621654,2802705,corona_tweets_645.csv
2021-01-07,0.046548333608571295,0.26175043035689755,2801003,corona_tweets_295.csv
2022-05-27,0.04822578671649474,0.268414903638458,681360,corona_tweets_800.csv
2020-12-20,0.05012132339636836,0.2560176183326828,4071775,corona_tweets_277.csv
2021-09-16,0.046226734673411755,0.2585501729237845,2717695,corona_tweets_547.csv
2021-08-03,0.058161210280384026,0.25255295554794,3167497,corona_tweets_503.csv
2021-06-11,0.06102427658603449,0.2548254204861083,1974182,corona_tweets_450.csv
2022-01-21,0.05373351980610048,0.260808780892672,2233715,corona_tweets_674.csv
2021-05-17,0.05915879289678193,0.2566407830594857,2940827,corona_tweets_425.csv
2020-07-03,0.07847486835453407,0.2724209589244412,3446100,corona_tweets_107.csv
