phase,n,ols_r2,rf_r2_in_sample,rf_r2_cv_mean,rf_r2_cv_std,rf_r2_train_mean,imp_cases,imp_deaths
Phase 1: Initial Outbreak,165,0.0091,0.29498284732458546,-0.38581374854016176,0.5416333227542158,0.2372576540658926,0.5863232639791887,0.4136767360208114
Phase 2: Second Wave,181,0.0001,0.23073004061821856,-0.2543748773084936,0.32861219629344113,0.23851824250895967,0.39704711593187914,0.6029528840681209
Phase 3: Vaccination Era,214,0.1577,0.376911671480062,-0.2088639715262989,0.44297958432073214,0.3562628626199747,0.6157302380286729,0.3842697619713271
Phase 4: Omicron,182,0.2165,0.48013569397302736,0.10908412104894334,0.12747547471831996,0.43010932584551237,0.2778662679716163,0.7221337320283838
Phase 5: Post-Restrictions,257,0.0622,0.3149502364301451,-0.045212070245237504,0.19956654650557556,0.4509783966207709,0.4278798116798699,0.5721201883201301
