date,sentiment_mean,sentiment_volatility,tweet_volume,StringencyIndex_Average
2020-03-20,0.0399329922686686,-0.015937370811788587,813326.0,3.0442857142857136
2020-03-21,-0.006045008258191098,0.004600675089635575,-411313.0,5.025714285714287
2020-03-22,0.015790582825373697,-0.006065146010661271,548817.0,10.054285714285712
2020-03-23,-0.0225450513148701,-0.014081512918267314,-10862.0,4.431428571428583
2020-03-24,0.0046896778394421995,-0.009921749535353186,-291644.0,3.9028571428571297
2020-03-25,0.007210126760411502,0.020126216529722796,-207059.0,2.4471428571428504
2020-03-26,0.016320591794560496,0.0004945127163564766,-181163.0,2.1171428571428663
2020-03-27,-0.004033678203915897,-0.005659465262599306,80584.0,2.6457142857142912
2020-03-28,0.022340332784137003,0.027330276899656003,-30803.0,1.3228571428571314
2020-03-29,0.0,0.0,0.0,0.0
2020-03-30,-0.0013957136058811992,-0.017843938902240453,-348793.0,0.0
2020-03-31,-0.0179013956937153,-0.01867990058144342,236877.0,0.0
2020-04-01,-0.019931179202387104,0.018446545525509006,-109218.0,0.26428571428571956
2020-04-02,0.022327944527779104,-0.012096863342882236,-93805.0,0.26428571428571956
2020-04-03,-0.0017588758389499998,0.0010202434548418071,-213759.0,0.0
2020-04-04,0.0017112057436259945,0.014766080459264308,73048.0,-0.26428571428571956
2020-04-05,-0.0100575936293417,0.004107644478182904,31741.0,0.0
2020-04-06,-0.008800412423001697,0.008990345540758726,5620.0,0.7928571428571445
2020-04-07,0.014998838716583703,-0.010105112365764835,-168909.0,0.0
2020-04-08,0.013317318812636994,-0.03036996000563391,35667.0,0.0
2020-04-09,-0.006515271457091194,0.0178231151585852,-71961.0,0.0
2020-04-10,0.004292698670258194,0.011644140216729326,83481.0,0.0
2020-04-11,-0.0001055815992202988,-0.001106160987249416,-103544.0,0.0
2020-04-12,-0.009135373309543698,0.007212528486779002,-20473.0,0.0
2020-04-13,-0.0084475609613257,-0.029310790962023603,-188905.0,0.0
2020-04-14,0.0036510574928979994,0.002614209274632906,227462.0,0.0
2020-04-15,-0.0131326464114851,0.0026514786732179108,-88651.0,-0.5300000000000011
2020-04-16,0.011820867137027999,0.003535733623868109,6280.0,0.0
2020-04-17,0.0085583918598936,0.0015894784775983828,-40521.0,0.0
2020-04-18,0.013080496707525008,-0.0030219264122404166,2278971.0,0.0
2020-04-19,-0.007594418144257105,-0.004389713813225449,-278812.0,0.0
2020-04-20,0.000411491786397801,0.0027203659818763604,-165427.0,-0.5285714285714249
2020-04-21,0.0010769519020552981,-0.006707449907877472,-15890.0,0.0
2020-04-22,0.0016165408215334034,0.0021334184709234094,53500.0,0.0
2020-04-23,-0.0010655289425912998,0.005474093035776673,-64051.0,0.0
2020-04-24,-0.0022749632318426055,0.00034231883506402605,137575.0,0.0
2020-04-25,-0.009484462574390597,-0.004264766566645539,-356878.0,0.0
2020-04-26,0.006968468743262297,-0.0004952109333941079,366992.0,0.0
2020-04-27,0.004456682110080899,-0.010690045310439267,-136611.0,0.0
2020-04-28,-0.005436957136483199,0.007951190378944595,-93363.0,-1.3228571428571456
2020-04-29,0.006875431554734399,0.0015384404621445191,271850.0,-0.5300000000000011
2020-04-30,0.011669551716296009,0.0016006601868440717,-206264.0,0.0
2020-05-01,-0.0021160308576860104,-0.00867364385719982,38574.0,0.0
2020-05-02,-0.006221256973861999,0.002269087663202718,-6460.0,0.0
2020-05-03,-0.0024654447839650984,0.009190969713375019,49820.0,0.0
2020-05-04,-0.0011790709942760963,-0.011189924152144204,-38884.0,-2.0514285714285734
2020-05-05,0.0038759758602271016,0.007023687379861976,-8715.0,0.0
2020-05-06,-0.008012609936393501,0.009046355603587242,-54523.0,0.0
2020-05-07,0.002221376243830002,-0.00748148024411982,39435.0,0.0
2020-05-08,0.009399443828544199,0.011637222401838898,46333.0,0.0
2020-05-09,-0.011107956567865902,-0.009396051358830204,23686.0,0.0
2020-05-10,-0.0011057890163128983,-0.0038681400525789056,-65441.0,0.0
2020-05-11,0.0029363217965140964,-0.010676840982433489,8581.0,-0.5285714285714249
2020-05-12,-0.006118277464710796,0.007479526506784906,47627.0,0.0
2020-05-13,0.004696357185583096,0.0004198918106517735,75237.0,-0.9257142857142924
2020-05-14,0.004166779814563704,0.006797131584743599,-242831.0,-6.217142857142846
2020-05-15,-0.0007054005244188991,-0.007796747954145089,117327.0,-0.5285714285714391
2020-05-16,-0.006244579105065602,0.007783857766418989,1174885.0,-0.19857142857142662
2020-05-17,-0.0018209558221223,-0.009148684748718494,141843.0,0.0
2020-05-18,0.007617141906097198,0.007342098274724429,368698.0,-0.6614285714285728
2020-05-19,-0.00022512993862210118,-0.0006649632674615158,-132622.0,0.0
2020-05-20,-0.006697227668508998,-8.545223356098974e-05,23446.0,0.0
2020-05-21,0.007168390267575202,-0.002799473309829603,-208435.0,0.0
2020-05-22,0.007302370438864503,-0.0024308301595085124,-120550.0,0.0
2020-05-23,-0.014161240693709803,0.004820781535955998,16094.0,0.0
2020-05-24,0.010546643049363494,0.018503409615265587,178882.0,-0.2657142857142816
2020-05-25,0.011592605417852911,0.000984625155298624,-181494.0,-0.26428571428570535
2020-05-26,0.007139983989812498,0.0036385685374797916,-51992.0,0.0
2020-05-27,-0.0151395400765134,-0.015476809692497706,58039.0,0.0
2020-05-28,-0.021860982746527605,0.010196320052927088,-34991.0,0.0
2020-05-29,-0.005772499165419796,-0.03132363890669429,46833.0,-0.9257142857142924
2020-05-30,-0.011746435621480703,-0.007730128546165477,-394024.0,0.0
2020-05-31,0.011747520961473402,0.008123363875531281,136031.0,0.0
2020-06-01,-0.0050953935921721,0.00226660795230868,-28716.0,0.3314285714285745
2020-06-02,0.0037023394479610006,-0.002200638975222574,285.0,0.0
2020-06-03,0.007381725626533796,0.0007308489738518942,49808.0,0.0
2020-06-04,0.0048196108934285,-0.014003963932221503,-1051102.0,0.0
2020-06-05,-0.006133219603882897,0.01986207036255999,1176061.0,-1.5871428571428652
2020-06-06,-0.008824378757972602,-0.006015278203550384,-186684.0,0.0
2020-06-07,-0.010823232495794598,0.04013451474635041,-425720.0,0.0
2020-06-08,0.042285117461925606,-0.022309481408769316,263447.0,-1.3228571428571456
2020-06-09,-0.008084087905735102,-0.015224595231589977,-47257.0,-0.26428571428570535
