phase,model,n_train,n_test,r2_cv_mean,r2_cv_std,r2_test,mse_test,mae_test
Phase 1: Initial outbreak,OLS,156,39,-0.3913332053880974,0.5814924483927458,-0.28232597644437507,0.00012486679628694416,0.008703251366052068
Phase 1: Initial outbreak,RandomForest,156,39,-0.21602294245384046,0.13642035395772797,-0.0909877725509578,0.0001062351932730864,0.007984198983614575
Phase 1: Initial outbreak,GradientBoosting,156,39,-0.656542151413524,0.32266489600313597,-0.6238940880752186,0.0001581270722203584,0.00954538577219782
Phase 2: Second wave & vaccine,OLS,218,55,-0.2942556278854184,0.3643687456734227,-0.08740382647330125,6.453201606037595e-05,0.005988344443388679
Phase 2: Second wave & vaccine,RandomForest,218,55,-0.044861434825070615,0.12785407047200886,-0.0816917361721321,6.419303187246037e-05,0.0060977790840966795
Phase 2: Second wave & vaccine,GradientBoosting,218,55,-0.6121382117171267,0.5195309140498114,-0.31921799011399,7.82890352715373e-05,0.0068388685772618595
Phase 3: Reopening & late,OLS,424,107,-0.6639019600120302,1.2918480299602708,0.006543061760362012,0.0001120380645138906,0.00800321463615328
Phase 3: Reopening & late,RandomForest,424,107,-0.0672299126894027,0.05751849197726077,-0.039027898826926144,0.00011717737355257485,0.008305118295825907
Phase 3: Reopening & late,GradientBoosting,424,107,-0.4122024441505877,0.5378135852640848,-0.06861731781817215,0.00012051434882172345,0.008438578498033937
