Phase,N,Sentiment_Mean,Stringency_Mean,r_Stringency,p_Stringency,r_Spearman_Stringency,r_Cases,p_Cases,r_Volume,p_Volume,r_Deaths,p_Deaths
Phase 1: Outbreak & Lockdown,104,0.049060254824650866,70.78350961538463,0.38623509062121797,5.131786844357739e-05,0.32171754043282813,0.23479545933462326,0.016432991094917134,0.053594491454735646,0.5889615607686131,0.3457028278251503,0.00032518213697021206
Phase 2: First Relaxation,123,0.050815445877405385,61.04168021680217,0.1539496561839604,0.08911176605235628,0.1463788020221291,-0.03153717315883173,0.7291329850922071,-0.012352054952498704,0.892139604535007,0.15666443904016783,0.08354912841353924
Phase 3: Second Wave,151,0.05917399167854792,65.14610375275939,0.05248362552577804,0.5221650373331458,0.050335837171026236,-0.25918643615507947,0.0013109682811456524,-0.1610197648871588,0.048255728660142765,-0.051763934279906984,0.5278944097014837
Phase 4: Vaccine Rollout,214,0.05691425676490318,55.36676791277257,0.3202133945861584,1.7232489762783287e-06,0.21162297764101073,-0.18099532096773915,0.007950066346420901,-0.17644698040059156,0.0096983213907534,0.05033973032257902,0.463827853277403
Phase 5: Omicron & Reopening,242,0.05265380770584318,36.67694903581267,-0.02313571489155108,0.7202746597557597,-0.06535293559849813,-0.04748492602822618,0.4621675694202223,-0.15236804251673092,0.017697662228092555,0.03972163472042051,0.5385765003213862
