date,sentiment_mean,sentiment_volatility,tweet_volume,StringencyIndex_Average,ConfirmedCases,ConfirmedDeaths,C1_School_closing,C2_Workplace_closing,C4_Restrictions_gatherings,C6_Stay_at_home,C7_Internal_movement,C8_International_travel,H6_Facial_coverings,daily_new_cases,daily_new_deaths
2020-03-19,-0.0061657310823133,0.2943170198989148,831327.0,48.37833333333333,3797.3333333333335,109.16666666666667,2.0,1.3333333333333333,2.1666666666666665,0.8333333333333334,0.6666666666666666,2.1666666666666665,0.16666666666666666,1031.166666666667,25.5
2020-03-20,0.0337672611863553,0.2783796490871262,1644653.0,51.93,5165.833333333333,147.16666666666666,2.0,1.3333333333333333,2.1666666666666665,0.8333333333333334,1.0,2.5,0.16666666666666666,1368.4999999999995,37.999999999999986
2020-03-21,0.0277222529281642,0.2829803241767618,1233340.0,57.79333333333333,6514.166666666667,188.83333333333334,2.1666666666666665,1.8333333333333333,2.6666666666666665,1.0,1.1666666666666667,2.5,0.16666666666666666,1348.333333333334,41.666666666666686
2020-03-22,0.0435128357535379,0.2769151781661005,1782157.0,60.26333333333333,8414.333333333334,241.5,2.1666666666666665,1.8333333333333333,2.6666666666666665,1.1666666666666667,1.5,2.5,0.16666666666666666,1900.166666666667,52.66666666666666
2020-03-23,0.0209677844386678,0.2628336652478332,1771295.0,67.67166666666667,10828.5,308.8333333333333,2.1666666666666665,2.3333333333333335,3.6666666666666665,1.3333333333333333,1.6666666666666667,2.5,0.16666666666666666,2414.166666666666,67.33333333333331
2020-03-24,0.02565746227811,0.25291191571248,1479651.0,72.22500000000001,13213.0,394.3333333333333,3.0,2.3333333333333335,4.0,1.5,1.6666666666666667,2.5,0.16666666666666666,2384.5,85.5
2020-03-25,0.0328675890385215,0.2730381322422028,1272592.0,72.84166666666665,15879.333333333334,508.5,3.0,2.5,4.0,1.5,1.6666666666666667,2.5,0.16666666666666666,2666.333333333334,114.16666666666669
2020-03-26,0.049188180833082,0.2735326449585593,1091429.0,75.31166666666667,19650.166666666668,651.3333333333334,3.0,2.5,4.0,1.6666666666666667,1.8333333333333333,2.5,0.16666666666666666,3770.833333333334,142.83333333333337
2020-03-27,0.0451545026291661,0.26787317969596,1172013.0,78.39833333333333,23547.0,817.1666666666666,3.0,2.8333333333333335,4.0,1.6666666666666667,1.8333333333333333,2.5,0.16666666666666666,3896.833333333332,165.83333333333326
2020-03-28,0.0674948354133031,0.295203456595616,1141210.0,79.94166666666666,28012.0,1027.3333333333333,3.0,2.8333333333333335,4.0,1.8333333333333333,2.0,2.5,0.16666666666666666,4465.0,210.16666666666663
